,USSR,Eritrea,Australia & New Zealand,Australia,Panama,Pakistan,Slovakia,Thailand,Belize,Ethiopia,Kenya,Yemen,Romania,Serbia,Lao People's Democratic Republic,Lebanon,Somalia,Togo,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,El Salvador,Congo,Canada,Colombia,Spain,India,Malta,Lesotho,Ecuador,Swaziland,Indonesia,Poland,Argentina,Turkey,Switzerland,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Republic of Korea,Democratic Republic of the Congo,Tunisia,Paraguay,Montenegro,Republic of Moldova,Dominican Republic,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,"China, mainland",Madagascar,Cyprus,Peru,Rwanda,Lithuania,Cameroon,Hungary,Guatemala,South Sudan,Cuba,Austria,Puerto Rico,United States of America,Bhutan,Philippines,Iraq,Czechia,Timor-Leste,United Republic of Tanzania,Burundi,Belgium,Nepal,France,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Germany,Uganda,Syrian Arab Republic,Latvia,Benin,Sweden,China,Cambodia,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Chile,Honduras,Uruguay,Zimbabwe,Ireland,Malawi,Algeria,"China, Taiwan Province of",Réunion,Japan,Sudan,Belarus,Egypt,Namibia,Georgia,Azerbaijan,Nicaragua,Viet Nam,Bosnia and Herzegovina,Barbados,Russian Federation,Portugal,Bolivia (Plurinational State of),Grenada,Jamaica,Netherlands,Djibouti,Mexico,South Africa,Mauritania,Tajikistan,Sri Lanka,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Croatia,Bulgaria,Myanmar,Ukraine
1961,62000.0,,809.0,809.0,19400.0,109000.0,,35840.0,219.0,,115000.0,,1436100.0,,2000.0,2000.0,3600.0,43000.0,13100.0,2580567.0,111000.0,-1.0,-1.0,265000.0,,21468.0,3700.0,26587.0,82000.0,225500.0,6541248.0,685.0,5000.0,39680.0,2121.0,270000.0,14000.0,31130.0,114000.0,,380.0,115000.0,86700.0,,,73843.0,1663.0,89000.0,36076.0,123000.0,,22000.0,,,30000.0,,1071000.0,29700.0,,-1.0,3100000.0,59000.0,1200.0,44650.0,131100.0,,100000.0,22700.0,63600.0,,68000.0,682.0,5816.0,581120.0,-1.0,67140.0,7400.0,,1600.0,193000.0,210000.0,,13500.0,95600.0,,,41100.0,68798.0,365954.0,6737.0,140000.0,1171.0,,125920.0,1800.0,3127047.0,35037.0,,,5724.0,5000.0,77530.0,69322.0,4000.0,30000.0,,62000.0,1303.0,27047.0,650.0,223900.0,,,665.0,-1.0,,,51600.0,72855.0,,-1.0,,429373.0,6000.0,50.0,39.0,4232.0,-1.0,1617107.0,73000.0,-1.0,,5732.0,89533.0,-1.0,,229215.0,274200.0,
1962,69000.0,,809.0,809.0,25600.0,100800.0,,49120.0,642.0,,115000.0,,1453059.0,,2000.0,1500.0,1500.0,43017.0,12700.0,2716257.0,105000.0,-1.0,-1.0,294000.0,,32898.0,4100.0,26506.0,87000.0,251600.0,6725782.0,573.0,5000.0,44000.0,2000.0,272000.0,16000.0,22740.0,112800.0,,333.0,115000.0,88000.0,,,66001.0,1471.0,90000.0,35112.0,126000.0,,22300.0,,,29000.0,,1062000.0,29800.0,,-1.0,3500000.0,60000.0,1300.0,46980.0,120088.0,,100000.0,23800.0,63500.0,,68000.0,602.0,6044.0,581930.0,-1.0,43000.0,7925.0,,1700.0,202000.0,210000.0,,14000.0,80800.0,,,44400.0,73654.0,344589.0,7790.0,140000.0,1618.0,,95902.0,1800.0,3523530.0,32686.0,,,3903.0,5000.0,75010.0,71217.0,5000.0,31000.0,,65000.0,1200.0,23530.0,650.0,225000.0,,,840.0,-1.0,,,47904.0,75752.0,,-1.0,,431624.0,6000.0,50.0,40.0,2575.0,-1.0,1673694.0,56000.0,-1.0,,8236.0,68378.0,-1.0,,202766.0,295400.0,
1963,80000.0,,2023.0,2023.0,25300.0,102200.0,,98880.0,732.0,,115000.0,,1640800.0,,2000.0,2000.0,2200.0,49720.0,20000.0,2982432.0,105000.0,-1.0,-1.0,343000.0,,27783.0,4400.0,28651.0,75122.0,251600.0,7040000.0,866.0,5000.0,44619.0,1643.0,260000.0,23000.0,28352.0,105000.0,,315.0,115000.0,88000.0,,,67270.0,1974.0,95000.0,36668.0,128000.0,,22000.0,,,29000.0,,1066000.0,29900.0,,-1.0,2800000.0,62305.0,1000.0,45080.0,120000.0,,100000.0,23300.0,75200.0,,65000.0,460.0,5440.0,563719.0,-1.0,44200.0,8525.0,,1800.0,209944.0,210000.0,,14500.0,81865.0,,,51799.0,67988.0,322947.0,8001.0,140000.0,1567.0,,97700.0,1630.0,2822822.0,50000.0,,,5633.0,7295.0,70780.0,76988.0,5000.0,30000.0,,69000.0,1700.0,22822.0,650.0,217100.0,,,2100.0,-1.0,,,47900.0,77970.0,,-1.0,,426508.0,8548.0,50.0,40.0,2556.0,-1.0,1710767.0,63000.0,-1.0,,7366.0,80788.0,-1.0,,209778.0,381300.0,
1964,70000.0,,1214.0,1214.0,19500.0,106400.0,,99680.0,947.0,,115000.0,,1683000.0,,2000.0,2200.0,3000.0,54000.0,18300.0,3130562.0,105000.0,-1.0,-1.0,355000.0,,21379.0,4500.0,33669.0,76000.0,229100.0,7332400.0,639.0,8000.0,56532.0,1845.0,270000.0,27000.0,30383.0,110000.0,,472.0,120000.0,89000.0,,,64510.0,1675.0,95000.0,37156.0,130000.0,,25000.0,,,35000.0,,1045000.0,31000.0,,-1.0,2800000.0,62700.0,1400.0,46250.0,108139.0,,90000.0,16900.0,92000.0,,62000.0,487.0,4323.0,570194.0,-1.0,41400.0,10757.0,,2000.0,230743.0,230000.0,,15000.0,62767.0,,,43728.0,66773.0,299998.0,5682.0,150000.0,1833.0,,62800.0,950.0,2825921.0,45000.0,,,7183.0,6390.0,64060.0,86954.0,5000.0,30000.0,,73000.0,2040.0,25921.0,650.0,212900.0,,,5880.0,-1.0,,,55400.0,79510.0,,-1.0,,438850.0,8712.0,50.0,38.0,3410.0,-1.0,2091025.0,65000.0,-1.0,,6566.0,87163.0,-1.0,,245418.0,401400.0,
1965,56000.0,,1214.0,1214.0,14800.0,105100.0,,118240.0,1031.0,,115000.0,,1513125.0,,2000.0,2500.0,6500.0,56985.0,12000.0,3272525.0,102000.0,-1.0,-1.0,340000.0,,23520.0,4700.0,38485.0,76000.0,224600.0,7088400.0,638.0,5700.0,54673.0,1500.0,280000.0,36000.0,37453.0,110000.0,,569.0,119000.0,90000.0,,,68710.0,2220.0,94000.0,40304.0,133000.0,,31500.0,,,34000.0,,1020000.0,31100.0,,-1.0,2800000.0,60310.0,1000.0,53975.0,126925.0,,90000.0,22100.0,87500.0,,60000.0,515.0,4363.0,610257.0,-1.0,39000.0,11777.0,,2800.0,176644.0,230000.0,,15300.0,55274.0,,,52390.0,67583.0,281082.0,3459.0,150000.0,2100.0,,63677.0,900.0,2821441.0,47200.0,,,7072.0,5722.0,58447.0,62683.0,5000.0,35000.0,,77000.0,1770.0,21441.0,400.0,200600.0,,,4620.0,-1.0,,,58800.0,81300.0,,-1.0,,410456.0,8757.0,50.0,35.0,3669.0,-1.0,2116858.0,66000.0,-1.0,,9648.0,87703.0,-1.0,,198896.0,363300.0,
1966,48000.0,,2023.0,2023.0,22100.0,100200.0,,132960.0,1410.0,,115000.0,,1525700.0,,2000.0,2450.0,7300.0,55573.0,17700.0,3324592.0,103000.0,-1.0,-1.0,312000.0,,26433.0,4900.0,47752.0,64000.0,225500.0,7247400.0,285.0,6300.0,81662.0,1861.0,280000.0,41000.0,28332.0,110000.0,,669.0,119000.0,63000.0,,,65770.0,2817.0,95000.0,48045.0,135000.0,,32200.0,,,44000.0,,249425.0,31200.0,,-1.0,2500000.0,60225.0,700.0,74540.0,154000.0,,90000.0,36700.0,78000.0,,60000.0,439.0,3930.0,610287.0,-1.0,38500.0,10000.0,,2900.0,234056.0,230000.0,,15500.0,48694.0,,200.0,43200.0,78915.0,269317.0,4458.0,163000.0,1817.0,,63388.0,1140.0,2522307.0,47900.0,,,6610.0,8210.0,64744.0,69788.0,3165.0,40000.0,,80000.0,1520.0,22307.0,500.0,214100.0,,,4620.0,-1.0,,,62900.0,80050.0,,-1.0,,422259.0,8757.0,50.0,64.0,3752.0,-1.0,2240022.0,65000.0,-1.0,,7944.0,91194.0,-1.0,,177749.0,373800.0,
1967,45000.0,,2428.0,2428.0,21600.0,126300.0,,129440.0,898.0,,115000.0,,1483400.0,,2000.0,1117.0,7600.0,61130.0,19100.0,3650568.0,100000.0,-1.0,-1.0,312000.0,,28417.0,5000.0,34802.0,69000.0,220500.0,7548200.0,315.0,7900.0,79402.0,1942.0,270000.0,32000.0,28707.0,106000.0,,686.0,119380.0,64000.0,,,61044.0,3323.0,95000.0,50620.0,138000.0,,32200.0,,,34406.0,,203061.0,31300.0,,-1.0,2500000.0,61685.0,611.0,84815.0,155000.0,,63010.0,30500.0,80900.0,,60000.0,433.0,3930.0,501399.0,-1.0,33300.0,12500.0,,2500.0,250000.0,250000.0,,15800.0,46718.0,,200.0,37000.0,74058.0,254861.0,3355.0,219000.0,2127.0,,84200.0,1100.0,2522944.0,53900.0,,,5947.0,8781.0,68400.0,73387.0,3200.0,40000.0,,83000.0,1470.0,22944.0,400.0,192300.0,,,3780.0,-1.0,,,65600.0,90560.0,,-1.0,,373444.0,8571.0,50.0,70.0,4282.0,-1.0,1929967.0,77000.0,-1.0,,7098.0,93376.0,-1.0,,150806.0,395300.0,
1968,35000.0,,4053.0,4053.0,18500.0,104900.0,,187520.0,1624.0,,115000.0,,1360270.0,,2000.0,1163.0,7600.0,65000.0,21100.0,3663301.0,97000.0,-1.0,-1.0,312000.0,,31689.0,5200.0,36785.0,70000.0,211300.0,7406700.0,378.0,9323.0,86344.0,1800.0,210000.0,26000.0,38321.0,107000.0,,446.0,119380.0,65000.0,,,54030.0,1962.0,90000.0,51460.0,140000.0,,30000.0,,,27676.0,,201150.0,31400.0,,-1.0,2400000.0,63165.0,519.0,65985.0,156300.0,,69006.0,13100.0,100900.0,,45000.0,396.0,700.0,576264.0,-1.0,33800.0,11500.0,,3500.0,219771.0,260000.0,,16000.0,42566.0,,200.0,27600.0,78834.0,229932.0,2285.0,270000.0,2356.0,,82700.0,1400.0,2424701.0,61800.0,,,4335.0,9000.0,53380.0,72803.0,3400.0,40000.0,,86700.0,4260.0,24701.0,400.0,169400.0,,,4620.0,-1.0,,,66600.0,81405.0,,-1.0,,355300.0,8701.0,50.0,71.0,2731.0,-1.0,1790669.0,70000.0,-1.0,,9685.0,100787.0,-1.0,,129035.0,364300.0,
1969,32000.0,,5266.0,5266.0,17200.0,90100.0,,202720.0,1921.0,,125000.0,,1205700.0,,2000.0,1359.0,10000.0,70000.0,18000.0,3633264.0,94815.0,-1.0,-1.0,315000.0,,32875.0,5400.0,36421.0,66500.0,207800.0,7461100.0,291.0,12183.0,84875.0,2266.0,220000.0,23000.0,56685.0,110000.0,,545.0,120000.0,67000.0,,,53290.0,1641.0,92000.0,52133.0,135000.0,,26860.0,,,35000.0,,179200.0,31500.0,,-1.0,2300000.0,66640.0,618.0,81444.0,162360.0,,86290.0,13300.0,85300.0,,35000.0,213.0,700.0,594475.0,-1.0,32500.0,11000.0,,3500.0,206701.0,260000.0,,16500.0,38879.0,,120.0,38000.0,78951.0,211825.0,3230.0,240000.0,3004.0,,78100.0,700.0,2324328.0,53300.0,,,2941.0,5000.0,44019.0,72219.0,3500.0,40000.0,,90500.0,5210.0,24328.0,400.0,155500.0,,,4620.0,-1.0,,,65600.0,73000.0,,-1.0,,353000.0,8700.0,55.0,129.0,3178.0,-1.0,1655520.0,61000.0,-1.0,,8514.0,103765.0,-1.0,,116402.0,375300.0,
1970,40000.0,,4644.0,4644.0,17500.0,109700.0,,224160.0,3049.0,,150000.0,,1196700.0,,2000.0,1123.0,23600.0,73449.0,18700.0,3484778.0,95000.0,-1.0,-1.0,315000.0,,36120.0,5500.0,33224.0,66400.0,192500.0,7796000.0,258.0,16346.0,81635.0,2300.0,244000.0,20000.0,41300.0,98000.0,,509.0,120000.0,69000.0,,,53100.0,1392.0,92000.0,49530.0,139200.0,,54404.0,,,28000.0,,177340.0,31600.0,,-1.0,2300000.0,65900.0,446.0,77470.0,159560.0,,98180.0,12400.0,150700.0,,35000.0,207.0,700.0,570194.0,-1.0,38500.0,12500.0,,5000.0,262250.0,275000.0,,16800.0,39669.0,,137.0,30000.0,75392.0,194700.0,3265.0,270000.0,2409.0,,82500.0,1500.0,2325126.0,30600.0,,,3361.0,4000.0,57230.0,71699.0,4364.0,38000.0,,94300.0,6610.0,25126.0,400.0,163600.0,,,5461.0,-1.0,,,61390.0,70000.0,,-1.0,,354500.0,1200.0,55.0,208.0,4019.0,-1.0,1746947.0,58000.0,-1.0,,7471.0,90685.0,-1.0,,108002.0,344800.0,
1971,34000.0,,8412.0,8412.0,13567.0,115300.0,,147900.0,2114.0,,180000.0,,1074300.0,,2000.0,1015.0,21200.0,70000.0,18000.0,3936281.0,95000.0,-1.0,-1.0,315000.0,,39900.0,5700.0,45810.0,68800.0,187100.0,7520500.0,319.0,17000.0,67140.0,2432.0,274000.0,24000.0,60640.0,102000.0,,554.0,120000.0,70000.0,,,45900.0,1759.0,95000.0,45029.0,144200.0,,49800.0,,,33000.0,,172900.0,31700.0,,-1.0,1900000.0,73725.0,638.0,72115.0,160494.0,,103104.0,10700.0,176900.0,,35000.0,186.0,700.0,524465.0,-1.0,36900.0,11000.0,,5000.0,260000.0,280000.0,,17000.0,31289.0,,146.0,23330.0,71460.0,125666.0,3283.0,459000.0,2491.0,,76140.0,1560.0,1924256.0,35500.0,,,3361.0,5000.0,69910.0,71050.0,3500.0,40000.0,,98100.0,6970.0,24256.0,300.0,161900.0,,,5881.0,-1.0,,,62230.0,69000.0,,-1.0,,326700.0,1600.0,60.0,226.0,3826.0,-1.0,1965126.0,58000.0,-1.0,,5300.0,95748.0,-1.0,,105424.0,330500.0,
1972,35000.0,,9516.0,9516.0,12000.0,97000.0,,213000.0,2042.0,,180000.0,,1100800.0,,2000.0,977.0,28500.0,40900.0,17000.0,3971034.0,95000.0,-1.0,-1.0,320000.0,,39795.0,5800.0,54308.0,84600.0,188500.0,7491700.0,304.0,10000.0,62139.0,2460.0,302000.0,23000.0,62200.0,105000.0,,663.0,120000.0,74000.0,,,40100.0,1719.0,96000.0,42060.0,146000.0,,46200.0,,,31400.0,,165600.0,33200.0,,-1.0,1800000.0,71047.0,580.0,69670.0,154593.0,,107707.0,10000.0,100000.0,,40000.0,243.0,700.0,554816.0,-1.0,37850.0,10000.0,,7000.0,280000.0,250000.0,,17500.0,23311.0,,149.0,35500.0,87000.0,95528.0,2259.0,309000.0,3500.0,,63900.0,1500.0,1829138.0,28800.0,,,3361.0,2600.0,79470.0,70466.0,3600.0,40000.0,,100000.0,7090.0,29138.0,210.0,161300.0,,,6301.0,-1.0,,,60900.0,70000.0,,-1.0,,322100.0,1800.0,60.0,273.0,4669.0,-1.0,1686746.0,63000.0,-1.0,,7000.0,83232.0,-1.0,,103855.0,366500.0,
1973,35000.0,,4523.0,4523.0,10300.0,111900.0,,239000.0,2145.0,,250000.0,,893900.0,,2000.0,907.0,17900.0,41800.0,13800.0,3815452.0,95000.0,-1.0,-1.0,320000.0,,45108.0,5900.0,53903.0,87000.0,173300.0,8640100.0,302.0,14000.0,66339.0,1989.0,336000.0,19000.0,78700.0,99500.0,,1089.0,120000.0,75000.0,,,42100.0,1974.0,96000.0,42349.0,150800.0,,47000.0,,,33400.0,,181000.0,37500.0,,-1.0,1800000.0,65120.0,413.0,70315.0,160025.0,,105320.0,9500.0,113407.0,,20000.0,252.0,700.0,538912.0,-1.0,39980.0,9496.0,,6000.0,280000.0,290000.0,,18000.0,20095.0,,152.0,26681.0,105000.0,80781.0,2278.0,359000.0,3462.0,,61500.0,1350.0,1831255.0,30000.0,,,2520.0,4300.0,67550.0,62075.0,4000.0,41000.0,,102000.0,6160.0,31255.0,210.0,146300.0,,,5881.0,-1.0,,,46970.0,65000.0,,-1.0,,306400.0,2200.0,55.0,250.0,4740.0,-1.0,1869686.0,70000.0,-1.0,,9000.0,66612.0,-1.0,,99008.0,371300.0,
1974,36000.0,,3230.0,3230.0,12100.0,113800.0,,190720.0,2054.0,,270000.0,,942100.0,,2000.0,3446.0,16100.0,43013.0,16600.0,4288555.0,95000.0,-1.0,-1.0,325000.0,,51429.0,6100.0,69400.0,90700.0,168800.0,8361000.0,354.0,19700.0,66181.0,1438.0,366200.0,10000.0,108000.0,100000.0,,1446.0,120000.0,74058.0,,,39300.0,2717.0,96000.0,41235.0,153400.0,,43400.0,,,41810.0,,166000.0,39500.0,,-1.0,1700000.0,68020.0,484.0,72175.0,186723.0,,117591.0,9000.0,90915.0,,18000.0,232.0,700.0,614223.0,-1.0,37480.0,13958.0,,5000.0,260000.0,240000.0,,18500.0,21500.0,,160.0,35520.0,130000.0,75145.0,2258.0,408000.0,3845.0,,51400.0,1100.0,1729903.0,30000.0,,,2520.0,2600.0,73890.0,62015.0,4000.0,43000.0,,104000.0,5190.0,29903.0,300.0,136400.0,,,7141.0,-1.0,,,65100.0,65000.0,,-1.0,,297400.0,2800.0,60.0,291.0,5506.0,-1.0,1551877.0,72000.0,-1.0,,12092.0,80693.0,-1.0,,109598.0,344500.0,
1975,36000.0,,7592.0,7592.0,16100.0,125700.0,,147200.0,2023.0,,280000.0,,879300.0,,2000.0,250.0,18800.0,44275.0,12500.0,4145916.0,96000.0,-1.0,-1.0,330000.0,,55860.0,6200.0,65558.0,120700.0,167400.0,8750100.0,356.0,28063.0,62553.0,1682.0,292800.0,8537.0,137410.0,94000.0,,1476.0,120000.0,68100.0,,,39200.0,3760.0,85000.0,44549.0,156200.0,,55000.0,,,41750.0,,166500.0,41500.0,,-1.0,1700000.0,73560.0,569.0,70935.0,190600.0,,127000.0,9600.0,158100.0,,15000.0,0.0,700.0,593301.0,-1.0,39320.0,13075.0,,5000.0,268000.0,290000.0,,19000.0,24900.0,,135.0,35520.0,140000.0,71448.0,2247.0,407300.0,4417.0,,54500.0,1040.0,1730256.0,28000.0,,,4957.0,3900.0,68020.0,73525.0,4000.0,43000.0,,107500.0,3590.0,30256.0,300.0,120400.0,,,8402.0,-1.0,,,56140.0,53800.0,,-1.0,,302425.0,2950.0,70.0,295.0,5861.0,-1.0,1752632.0,107000.0,-1.0,,11296.0,89279.0,-1.0,,94287.0,379400.0,
1976,46000.0,,8224.0,8224.0,16590.0,114174.0,,207680.0,1950.0,,310000.0,,830900.0,,1900.0,180.0,19700.0,46310.0,18100.0,4059176.0,97000.0,-1.0,-1.0,325000.0,,52878.0,6300.0,66400.0,101000.0,162000.0,8204500.0,445.0,29656.0,67924.0,2167.0,216000.0,8657.0,146960.0,102000.0,,1353.0,120000.0,42600.0,,,38400.0,2456.0,90000.0,45875.0,159000.0,,63400.0,,,45465.0,,152000.0,43500.0,,-1.0,1700000.0,68090.0,504.0,73595.0,202880.0,,130000.0,8386.0,133100.0,,15000.0,,700.0,602690.0,-1.0,43310.0,11332.0,,5000.0,294000.0,290000.0,,19500.0,22700.0,,173.0,27571.0,170000.0,69947.0,1734.0,434892.0,6142.0,,59954.0,820.0,1734338.0,31000.0,,,3906.0,1500.0,81550.0,75111.0,4400.0,44000.0,,111000.0,2390.0,34338.0,300.0,109000.0,,,8402.0,-1.0,,,67550.0,69900.0,,-1.0,,271055.0,3000.0,75.0,334.0,5043.0,-1.0,1315819.0,104000.0,-1.0,,13464.0,72659.0,-1.0,,90885.0,333200.0,
1977,52000.0,,10360.0,10360.0,15560.0,118321.0,,377920.0,1983.0,,350000.0,,686400.0,,2500.0,250.0,18800.0,47630.0,20600.0,4551032.0,95000.0,-1.0,-1.0,325000.0,,52588.0,6300.0,70000.0,115800.0,156600.0,8329900.0,378.0,14642.0,59000.0,2116.0,293000.0,16445.0,171000.0,103000.0,,909.0,120000.0,49300.0,,,38100.0,3691.0,103458.0,46135.0,161600.0,,66800.0,,,42000.0,,145000.0,44000.0,,-1.0,1700000.0,58300.0,459.0,67491.0,213276.0,,138000.0,6701.0,85600.0,,25000.0,,700.0,513903.0,-1.0,43780.0,8045.0,,5000.0,350000.0,300000.0,,20000.0,25400.0,,222.0,24192.0,175000.0,62406.0,2009.0,338347.0,6093.0,,63370.0,960.0,1735000.0,33000.0,,,2100.0,9100.0,97300.0,76696.0,4400.0,44000.0,,115000.0,1830.0,35000.0,300.0,109300.0,,,6516.0,-1.0,,,61600.0,85800.0,,-1.0,,268047.0,2800.0,80.0,252.0,4126.0,-1.0,1630732.0,93000.0,-1.0,,26239.0,61493.0,-1.0,,86041.0,332000.0,
1978,52000.0,,4784.0,4784.0,14850.0,114610.0,,374400.0,1943.0,,370000.0,,635300.0,,2800.0,400.0,21800.0,51660.0,21200.0,4617259.0,90000.0,-1.0,-1.0,325000.0,,51748.0,6000.0,59893.0,110900.0,150400.0,8397100.0,367.0,11066.0,39118.0,2116.0,316000.0,19495.0,136000.0,99500.0,,889.0,110000.0,21300.0,,,37100.0,3467.0,101415.0,36699.0,163500.0,,86200.0,,,52767.0,,132000.0,46500.0,,-1.0,1500000.0,49590.0,330.0,63833.0,214939.0,,145000.0,8446.0,94800.0,,27000.0,,700.0,588580.0,-1.0,45120.0,9250.0,,5000.0,500000.0,270000.0,,20200.0,26000.0,,183.0,29000.0,194000.0,59802.0,2220.0,388000.0,5511.0,,85750.0,1107.0,1535214.0,28000.0,,,5100.0,10000.0,111740.0,80972.0,4500.0,40000.0,,117000.0,1950.0,35214.0,315.0,87400.0,,,6292.0,-1.0,,,66500.0,91300.0,,-1.0,,281526.0,4330.0,60.0,281.0,4772.0,-1.0,1580228.0,104000.0,-1.0,,26265.0,69706.0,-1.0,,53135.0,385300.0,
