,Luxembourg,Eritrea,Chad,Czechoslovakia,Myanmar,Morocco,USSR,Armenia,Romania,Italy,Bosnia and Herzegovina,Russian Federation,Ethiopia,Tunisia,Spain,Sierra Leone,Republic of Korea,Togo,Hungary,New Zealand,Bulgaria,Australia & New Zealand,Argentina,Mongolia,Thailand,Poland,Senegal,Oman,Czechia,Ethiopia PDR
1961,-1.0,-1.0,350.0,0.0,632.0,3500.0,11040.0,-1.0,0.0,8800.0,-1.0,-1.0,-1.0,800.0,0.0,39.0,0.0,124.0,1400.0,50.0,2700.0,50.0,275.0,800.0,0.0,0.0,480.0,128.0,-1.0,53325.0
1962,-1.0,-1.0,350.0,0.0,1020.0,3500.0,10400.0,-1.0,0.0,6600.0,-1.0,-1.0,-1.0,1200.0,0.0,39.0,0.0,125.0,1500.0,50.0,3600.0,50.0,286.0,600.0,0.0,0.0,450.0,128.0,-1.0,52500.0
1963,-1.0,-1.0,350.0,0.0,1126.0,3100.0,12960.0,-1.0,0.0,6500.0,-1.0,-1.0,-1.0,1600.0,0.0,41.0,0.0,135.0,1500.0,50.0,5400.0,50.0,352.0,1500.0,0.0,0.0,300.0,136.0,-1.0,52700.0
1964,-1.0,-1.0,363.0,0.0,760.0,4000.0,8480.0,-1.0,0.0,6600.0,-1.0,-1.0,-1.0,2200.0,0.0,42.0,0.0,135.0,1600.0,50.0,9111.0,50.0,407.0,1400.0,0.0,0.0,300.0,136.0,-1.0,52750.0
1965,-1.0,-1.0,375.0,57.0,1174.0,3400.0,8640.0,-1.0,0.0,6500.0,-1.0,-1.0,-1.0,1500.0,0.0,45.0,0.0,155.0,1600.0,58.0,460.0,58.0,407.0,500.0,0.0,0.0,381.0,144.0,-1.0,52790.0
1966,-1.0,-1.0,375.0,318.0,1036.0,3400.0,5440.0,-1.0,0.0,6000.0,-1.0,-1.0,-1.0,1400.0,0.0,42.0,0.0,35.0,1700.0,58.0,540.0,58.0,438.0,400.0,0.0,0.0,480.0,152.0,-1.0,53318.0
1967,-1.0,-1.0,375.0,303.0,1182.0,2350.0,4000.0,-1.0,0.0,5800.0,-1.0,-1.0,-1.0,1500.0,0.0,42.0,0.0,25.0,1700.0,58.0,810.0,58.0,413.0,400.0,0.0,0.0,303.0,152.0,-1.0,53850.0
1968,-1.0,-1.0,375.0,321.0,1271.0,3200.0,2720.0,-1.0,0.0,4600.0,-1.0,-1.0,-1.0,800.0,0.0,42.0,0.0,30.0,1700.0,58.0,412.0,58.0,398.0,400.0,4.0,0.0,361.0,152.0,-1.0,54388.0
1969,-1.0,-1.0,400.0,256.0,1141.0,6400.0,2400.0,-1.0,0.0,4000.0,-1.0,-1.0,-1.0,800.0,0.0,41.0,0.0,55.0,2900.0,50.0,798.0,50.0,373.0,600.0,7.0,0.0,234.0,160.0,-1.0,54933.0
1970,-1.0,-1.0,400.0,239.0,769.0,5200.0,1760.0,-1.0,0.0,1600.0,-1.0,-1.0,-1.0,660.0,0.0,39.0,0.0,55.0,3400.0,50.0,540.0,50.0,355.0,400.0,14.0,0.0,348.0,160.0,-1.0,55445.0
1971,-1.0,-1.0,425.0,129.0,664.0,4540.0,1280.0,-1.0,0.0,1100.0,-1.0,-1.0,-1.0,600.0,0.0,39.0,0.0,40.0,4600.0,50.0,621.0,50.0,361.0,600.0,22.0,0.0,375.0,168.0,-1.0,55988.0
1972,-1.0,-1.0,425.0,127.0,898.0,7030.0,1440.0,-1.0,0.0,1200.0,-1.0,-1.0,-1.0,600.0,0.0,39.0,0.0,50.0,3200.0,63.0,464.0,63.0,380.0,900.0,30.0,0.0,209.0,168.0,-1.0,41625.0
1973,-1.0,-1.0,450.0,91.0,1196.0,8540.0,1600.0,-1.0,0.0,1100.0,-1.0,-1.0,-1.0,500.0,0.0,39.0,0.0,55.0,2200.0,63.0,16401.0,63.0,364.0,800.0,42.0,0.0,261.0,168.0,-1.0,42150.0
1974,-1.0,-1.0,475.0,75.0,1199.0,4790.0,1120.0,-1.0,0.0,800.0,-1.0,-1.0,-1.0,540.0,0.0,39.0,19.0,55.0,1400.0,63.0,4270.0,63.0,351.0,800.0,48.0,0.0,243.0,168.0,-1.0,30440.0
1975,-1.0,-1.0,500.0,110.0,1187.0,5440.0,960.0,-1.0,0.0,700.0,-1.0,-1.0,-1.0,600.0,0.0,39.0,32.0,55.0,900.0,63.0,3921.0,63.0,348.0,500.0,60.0,0.0,279.0,160.0,-1.0,36010.0
1976,-1.0,-1.0,525.0,57.0,1068.0,5290.0,800.0,-1.0,36.0,600.0,-1.0,-1.0,-1.0,600.0,0.0,42.0,37.0,60.0,833.0,65.0,1958.0,65.0,359.0,350.0,108.0,0.0,212.0,160.0,-1.0,33428.0
1977,-1.0,-1.0,750.0,60.0,1068.0,7350.0,640.0,-1.0,18.0,600.0,-1.0,-1.0,-1.0,640.0,0.0,42.0,17.0,53.0,354.0,65.0,9163.0,65.0,343.0,400.0,96.0,0.0,190.0,160.0,-1.0,32600.0
1978,-1.0,-1.0,1000.0,66.0,1012.0,5020.0,480.0,-1.0,18.0,500.0,-1.0,-1.0,-1.0,640.0,0.0,42.0,18.0,40.0,316.0,65.0,1548.0,65.0,263.0,400.0,84.0,0.0,168.0,160.0,-1.0,34815.0
1979,-1.0,-1.0,1375.0,86.0,1198.0,5800.0,480.0,-1.0,36.0,700.0,-1.0,-1.0,-1.0,660.0,0.0,45.0,15.0,35.0,320.0,33.0,1638.0,33.0,234.0,1000.0,96.0,0.0,180.0,160.0,-1.0,37834.0
1980,-1.0,-1.0,1750.0,142.0,1131.0,4900.0,640.0,-1.0,54.0,600.0,-1.0,-1.0,-1.0,660.0,0.0,45.0,13.0,35.0,235.0,56.0,2461.0,56.0,239.0,1000.0,144.0,0.0,180.0,67.0,-1.0,34104.0
1981,-1.0,-1.0,1625.0,103.0,965.0,3300.0,640.0,-1.0,54.0,1300.0,-1.0,-1.0,-1.0,680.0,0.0,45.0,45.0,35.0,300.0,20.0,3435.0,20.0,147.0,1500.0,168.0,0.0,180.0,67.0,-1.0,33289.0
1982,-1.0,-1.0,2098.0,70.0,940.0,4300.0,960.0,-1.0,144.0,2000.0,-1.0,-1.0,-1.0,688.0,0.0,45.0,40.0,35.0,300.0,21.0,2191.0,21.0,111.0,3000.0,120.0,0.0,180.0,67.0,-1.0,34996.0
1983,-1.0,-1.0,1214.0,56.0,960.0,2300.0,800.0,-1.0,864.0,1000.0,-1.0,-1.0,-1.0,600.0,0.0,45.0,40.0,35.0,1200.0,34.0,1451.0,34.0,120.0,4000.0,132.0,0.0,210.0,67.0,-1.0,32949.0
1984,-1.0,-1.0,3161.0,20.0,1017.0,1800.0,800.0,-1.0,108.0,1000.0,-1.0,-1.0,-1.0,600.0,0.0,45.0,20.0,35.0,500.0,29.0,1850.0,29.0,109.0,4000.0,132.0,0.0,229.0,67.0,-1.0,33627.0
1985,-1.0,-1.0,1419.0,46.0,1040.0,2000.0,640.0,-1.0,36.0,800.0,-1.0,-1.0,-1.0,300.0,0.0,45.0,28.0,37.0,500.0,39.0,1467.0,39.0,110.0,3000.0,132.0,0.0,156.0,68.0,-1.0,32406.0
1986,-1.0,-1.0,1746.0,54.0,994.0,1800.0,640.0,-1.0,270.0,600.0,-1.0,-1.0,-1.0,360.0,0.0,45.0,64.0,30.0,1100.0,64.0,3744.0,64.0,81.0,3021.0,132.0,0.0,167.0,72.0,-1.0,32458.0
1987,-1.0,-1.0,2719.0,165.0,601.0,1600.0,640.0,-1.0,270.0,200.0,-1.0,-1.0,-1.0,360.0,0.0,45.0,21.0,25.0,400.0,54.0,3642.0,54.0,121.0,4199.0,162.0,0.0,150.0,74.0,-1.0,31335.0
1988,-1.0,-1.0,2693.0,3135.0,761.0,1400.0,640.0,-1.0,270.0,200.0,-1.0,-1.0,-1.0,360.0,0.0,45.0,25.0,39.0,600.0,50.0,4708.0,50.0,88.0,3474.0,168.0,0.0,72.0,76.0,-1.0,36531.0
1989,-1.0,-1.0,2009.0,3138.0,823.0,1150.0,635.0,-1.0,224.0,200.0,-1.0,-1.0,-1.0,361.0,0.0,45.0,33.0,33.0,500.0,57.0,5417.0,57.0,182.0,2686.0,168.0,0.0,50.0,80.0,-1.0,30674.0
1990,-1.0,-1.0,3599.0,3146.0,780.0,1450.0,628.0,-1.0,690.0,600.0,-1.0,-1.0,-1.0,416.0,0.0,45.0,33.0,21.0,300.0,51.0,5772.0,51.0,286.0,2700.0,158.0,0.0,103.0,101.0,-1.0,31977.0
1991,-1.0,-1.0,3095.0,3240.0,695.0,1580.0,628.0,-1.0,953.0,1300.0,-1.0,-1.0,-1.0,500.0,0.0,45.0,34.0,26.0,700.0,48.0,4728.0,48.0,605.0,1100.0,271.0,0.0,102.0,110.0,-1.0,34208.0
1992,-1.0,-1.0,2785.0,3240.0,668.0,1950.0,-1.0,0.0,398.0,1500.0,10.0,6000.0,-1.0,546.0,0.0,43.0,15.0,43.0,500.0,45.0,3435.0,45.0,308.0,1100.0,300.0,0.0,102.0,136.0,-1.0,34600.0
1993,-1.0,780.0,3231.0,-1.0,740.0,920.0,-1.0,0.0,252.0,1500.0,0.0,6000.0,35629.0,540.0,0.0,120.0,17.0,45.0,1000.0,42.0,2125.0,42.0,308.0,0.0,360.0,0.0,100.0,150.0,720.0,-1.0
1994,-1.0,754.0,2534.0,-1.0,660.0,140.0,-1.0,0.0,180.0,1800.0,0.0,6000.0,47477.0,600.0,0.0,81.0,27.0,26.0,1000.0,40.0,2028.0,40.0,198.0,0.0,360.0,0.0,188.0,82.0,738.0,-1.0
1995,-1.0,540.0,2333.0,-1.0,680.0,340.0,-1.0,0.0,432.0,1700.0,0.0,6000.0,54072.0,706.0,0.0,99.0,46.0,56.0,0.0,75.0,2799.0,75.0,198.0,0.0,375.0,0.0,236.0,83.0,720.0,-1.0
1996,-1.0,460.0,2835.0,-1.0,740.0,720.0,-1.0,0.0,432.0,1600.0,0.0,6000.0,55972.0,637.0,0.0,114.0,34.0,34.0,0.0,81.0,2340.0,81.0,198.0,0.0,390.0,0.0,150.0,84.0,738.0,-1.0
1997,-1.0,683.0,4531.0,-1.0,800.0,510.0,-1.0,0.0,630.0,1000.0,0.0,5000.0,45173.0,740.0,0.0,84.0,43.0,35.0,0.0,73.0,3216.0,73.0,198.0,0.0,405.0,0.0,90.0,60.0,720.0,-1.0
1998,-1.0,773.0,4981.0,-1.0,840.0,460.0,-1.0,0.0,369.0,4000.0,0.0,4000.0,53782.0,667.0,0.0,78.0,36.0,22.0,0.0,88.0,1710.0,88.0,220.0,0.0,480.0,0.0,134.0,54.0,702.0,-1.0
1999,-1.0,742.0,3518.0,-1.0,840.0,460.0,-1.0,0.0,774.0,3500.0,0.0,4000.0,53849.0,670.0,0.0,99.0,43.0,18.0,0.0,84.0,1428.0,84.0,220.0,0.0,600.0,0.0,64.0,54.0,756.0,-1.0
2000,0.0,761.0,3866.0,-1.0,900.0,590.0,-1.0,0.0,1005.0,4500.0,0.0,3500.0,55008.0,860.0,1500.0,117.0,61.0,21.0,0.0,90.0,1410.0,90.0,220.0,0.0,750.0,0.0,41.0,71.0,738.0,-1.0
2001,0.0,700.0,4475.0,-1.0,840.0,480.0,-1.0,0.0,1260.0,4500.0,0.0,4000.0,46571.0,678.0,2250.0,126.0,68.0,10.0,0.0,80.0,1129.0,80.0,242.0,0.0,810.0,0.0,55.0,56.0,720.0,-1.0
2002,0.0,786.0,7500.0,-1.0,800.0,670.0,-1.0,0.0,458.0,4500.0,0.0,3600.0,69390.0,939.0,3000.0,129.0,55.0,15.0,0.0,60.0,1626.0,60.0,242.0,0.0,840.0,314.0,60.0,78.0,810.0,-1.0
2003,0.0,755.0,7509.0,-1.0,800.0,490.0,-1.0,590.0,590.0,4500.0,0.0,2000.0,73311.0,900.0,4082.0,132.0,56.0,7.0,0.0,68.0,458.0,68.0,242.0,0.0,900.0,228.0,70.0,59.0,846.0,-1.0
2004,0.0,754.0,9070.0,-1.0,800.0,700.0,-1.0,600.0,53.0,4500.0,0.0,3000.0,79202.0,807.0,4181.0,174.0,87.0,8.0,0.0,43.0,198.0,43.0,242.0,0.0,1050.0,235.0,65.0,76.0,828.0,-1.0
2005,0.0,672.0,9011.0,-1.0,900.0,610.0,-1.0,550.0,45.0,4500.0,0.0,2000.0,55313.0,715.0,5209.0,180.0,84.0,4.0,0.0,30.0,39.0,30.0,242.0,0.0,3000.0,250.0,44.0,66.0,810.0,-1.0
2006,0.0,619.0,10000.0,-1.0,900.0,580.0,-1.0,540.0,82.0,2500.0,0.0,2000.0,60944.0,681.0,4695.0,240.0,104.0,4.0,0.0,57.0,72.0,57.0,248.0,50.0,2220.0,528.0,60.0,65.0,1527.0,-1.0
2007,2.0,687.0,8325.0,-1.0,740.0,720.0,-1.0,700.0,90.0,2900.0,0.0,2000.0,74823.0,461.0,4509.0,300.0,73.0,3.0,0.0,55.0,37.0,55.0,248.0,50.0,2220.0,350.0,203.0,62.0,1142.0,-1.0
2008,6.0,1022.0,8500.0,-1.0,660.0,580.0,-1.0,640.0,81.0,4500.0,0.0,600.0,64717.0,363.0,5408.0,317.0,71.0,7.0,0.0,55.0,36.0,55.0,253.0,50.0,2400.0,465.0,124.0,47.0,1140.0,-1.0
2009,10.0,1075.0,27702.0,-1.0,660.0,850.0,-1.0,1100.0,90.0,4500.0,0.0,500.0,69030.0,346.0,5755.0,306.0,140.0,7.0,0.0,50.0,40.0,50.0,286.0,50.0,2550.0,2940.0,49.0,46.0,1096.0,-1.0
2010,16.0,1099.0,7616.0,-1.0,560.0,320.0,-1.0,900.0,582.0,4500.0,0.0,500.0,68278.0,358.0,6179.0,337.0,173.0,5.0,0.0,43.0,41.0,43.0,286.0,50.0,2448.0,910.0,73.0,48.0,993.0,-1.0
2011,13.0,1100.0,10564.0,-1.0,580.0,240.0,-1.0,900.0,957.0,4500.0,0.0,500.0,68257.0,360.0,7831.0,330.0,211.0,17.0,0.0,52.0,202.0,52.0,407.0,80.0,2490.0,616.0,54.0,48.0,1333.0,-1.0
2012,6.0,1125.0,11603.0,-1.0,580.0,250.0,-1.0,900.0,682.0,7300.0,0.0,500.0,75413.0,360.0,6748.0,339.0,198.0,22.0,0.0,38.0,393.0,38.0,308.0,400.0,2550.0,1598.0,73.0,48.0,998.0,-1.0
2013,6.0,918.0,13333.0,-1.0,600.0,409.0,-1.0,1400.0,618.0,7900.0,0.0,500.0,75402.0,362.0,6605.0,359.0,206.0,22.0,0.0,43.0,23.0,43.0,308.0,100.0,2746.0,1563.0,99.0,48.0,765.0,-1.0
2014,6.0,918.0,13333.0,-1.0,600.0,409.0,-1.0,1400.0,618.0,7900.0,0.0,500.0,75402.0,362.0,6605.0,359.0,206.0,22.0,0.0,43.0,23.0,43.0,308.0,100.0,2746.0,1563.0,99.0,48.0,2000.0,-1.0
