,Sudan,Israel,Kenya,Niger,Chad,Morocco,Cameroon,Saudi Arabia,Qatar,Mexico,Sudan (former),Syrian Arab Republic,Jordan,Mauritania,Benin,Somalia,China,Pakistan,Colombia,Tunisia,Libya,Albania,Iraq,Yemen,Peru,Occupied Palestinian Territory,Spain,Bahrain,United States of America,Iran (Islamic Republic of),Egypt,Algeria,Kuwait,"China, mainland",Oman,United Arab Emirates,Namibia,Swaziland,Turkey
1961,-1.0,85714.0,33333.0,30000.0,-1.0,47778.0,-1.0,72727.0,-1.0,75401.0,60227.0,-1.0,33533.0,28889.0,-1.0,36154.0,40000.0,82697.0,-1.0,36300.0,-1.0,-1.0,-1.0,36438.0,54545.0,-1.0,296296.0,93750.0,114200.0,38462.0,239500.0,25000.0,-1.0,40000.0,30769.0,120000.0,-1.0,-1.0,23077.0
1962,-1.0,87500.0,30000.0,30000.0,-1.0,31111.0,-1.0,71739.0,-1.0,78288.0,59783.0,-1.0,38800.0,30000.0,-1.0,36923.0,40000.0,70333.0,-1.0,35238.0,-1.0,-1.0,-1.0,36630.0,54545.0,-1.0,299252.0,93750.0,129141.0,39744.0,200500.0,25000.0,-1.0,40000.0,30769.0,118182.0,-1.0,-1.0,23077.0
1963,-1.0,90000.0,30000.0,29412.0,-1.0,44444.0,-1.0,72340.0,-1.0,93365.0,61053.0,-1.0,40867.0,30000.0,-1.0,37692.0,42000.0,60575.0,-1.0,35294.0,-1.0,-1.0,-1.0,39980.0,53846.0,-1.0,299252.0,93750.0,117935.0,42051.0,220127.0,25000.0,-1.0,42000.0,30769.0,122807.0,-1.0,-1.0,23077.0
1964,-1.0,88000.0,30000.0,29412.0,-1.0,47222.0,-1.0,72917.0,-1.0,92394.0,60000.0,-1.0,39400.0,28571.0,-1.0,38462.0,40909.0,72216.0,-1.0,35000.0,-1.0,-1.0,-1.0,40175.0,53846.0,-1.0,282486.0,93750.0,129676.0,36538.0,163630.0,30028.0,-1.0,40909.0,30769.0,122951.0,-1.0,-1.0,23214.0
1965,-1.0,88000.0,30000.0,29412.0,-1.0,47778.0,-1.0,72000.0,-1.0,96428.0,60000.0,-1.0,41200.0,29333.0,-1.0,36429.0,40000.0,80660.0,-1.0,34839.0,-1.0,-1.0,-1.0,40370.0,53333.0,-1.0,273752.0,93750.0,118250.0,38462.0,192859.0,24960.0,-1.0,40000.0,30769.0,122951.0,-1.0,-1.0,23214.0
1966,-1.0,103333.0,30000.0,29412.0,-1.0,45000.0,-1.0,72435.0,-1.0,98667.0,60185.0,-1.0,43830.0,30000.0,-1.0,37143.0,40000.0,80000.0,-1.0,35250.0,-1.0,-1.0,-1.0,41200.0,53867.0,-1.0,253677.0,93750.0,119647.0,36709.0,158592.0,25024.0,-1.0,40000.0,30769.0,122581.0,-1.0,-1.0,23729.0
1967,-1.0,90000.0,30000.0,29412.0,-1.0,45000.0,-1.0,72435.0,-1.0,96302.0,59130.0,-1.0,10400.0,28889.0,-1.0,37857.0,40000.0,78387.0,-1.0,35727.0,-1.0,-1.0,-1.0,36168.0,53533.0,-1.0,241016.0,93750.0,113743.0,35570.0,159455.0,25111.0,-1.0,40000.0,30769.0,122951.0,-1.0,-1.0,23729.0
1968,-1.0,95000.0,28000.0,29412.0,-1.0,45000.0,-1.0,71429.0,-1.0,98533.0,59829.0,-1.0,9286.0,29787.0,-1.0,37857.0,43478.0,74653.0,-1.0,35000.0,-1.0,-1.0,-1.0,34059.0,38211.0,-1.0,261355.0,93750.0,121027.0,35443.0,154500.0,25031.0,-1.0,43478.0,30769.0,124138.0,-1.0,-1.0,23729.0
1969,-1.0,105000.0,28000.0,29412.0,-1.0,45000.0,-1.0,73333.0,-1.0,42917.0,60150.0,-1.0,10000.0,29762.0,-1.0,38571.0,43478.0,73608.0,-1.0,34906.0,-1.0,-1.0,-1.0,32277.0,44800.0,-1.0,255452.0,93750.0,85239.0,36709.0,200500.0,30458.0,-1.0,43478.0,34615.0,126667.0,-1.0,-1.0,22881.0
1970,-1.0,115000.0,28000.0,29412.0,-1.0,45000.0,-1.0,77419.0,-1.0,59045.0,60000.0,-1.0,10000.0,30000.0,-1.0,38571.0,43478.0,85027.0,-1.0,37143.0,-1.0,-1.0,-1.0,28713.0,44000.0,-1.0,209521.0,93750.0,101920.0,38750.0,169500.0,24770.0,-1.0,43478.0,34615.0,125000.0,-1.0,-1.0,22222.0
1971,-1.0,120930.0,28000.0,29412.0,-1.0,45000.0,-1.0,72206.0,-1.0,61482.0,60703.0,-1.0,3600.0,28571.0,-1.0,39286.0,45217.0,76611.0,-1.0,37143.0,-1.0,-1.0,-1.0,26606.0,44021.0,-1.0,224563.0,93750.0,109198.0,35000.0,170500.0,24825.0,-1.0,45217.0,35232.0,127273.0,-1.0,-1.0,20896.0
1972,-1.0,120833.0,28000.0,29412.0,-1.0,40000.0,-1.0,56999.0,-1.0,57183.0,58025.0,-1.0,10000.0,28571.0,-1.0,39286.0,47391.0,92336.0,-1.0,40000.0,-1.0,-1.0,-1.0,24324.0,30000.0,-1.0,212238.0,93750.0,85801.0,37500.0,198500.0,28083.0,-1.0,47391.0,37481.0,129412.0,-1.0,-1.0,20000.0
1973,-1.0,120408.0,28000.0,29412.0,-1.0,40000.0,-1.0,84769.0,-1.0,57183.0,71416.0,-1.0,8571.0,29714.0,-1.0,40000.0,47826.0,80633.0,-1.0,36364.0,-1.0,-1.0,-1.0,21368.0,29000.0,-1.0,215270.0,93750.0,123271.0,35625.0,190500.0,25228.0,-1.0,47826.0,35714.0,149887.0,-1.0,-1.0,23735.0
1974,-1.0,119298.0,28000.0,28889.0,-1.0,40696.0,-1.0,59190.0,-1.0,54463.0,71875.0,-1.0,12500.0,29714.0,-1.0,40000.0,47826.0,80202.0,-1.0,33043.0,-1.0,-1.0,-1.0,18797.0,27000.0,-1.0,211024.0,95152.0,124054.0,38750.0,198100.0,27928.0,-1.0,47826.0,35714.0,120000.0,-1.0,-1.0,19048.0
1975,-1.0,120690.0,28000.0,29032.0,-1.0,41652.0,-1.0,63493.0,-1.0,46395.0,78571.0,-1.0,20543.0,30286.0,-1.0,40000.0,47826.0,73739.0,-1.0,37500.0,-1.0,-1.0,-1.0,18289.0,30000.0,-1.0,208735.0,95652.0,135530.0,36250.0,207550.0,29762.0,-1.0,47826.0,35714.0,100000.0,-1.0,-1.0,23529.0
1976,-1.0,135000.0,28571.0,29016.0,-1.0,42696.0,-1.0,42524.0,-1.0,11624.0,87500.0,-1.0,4200.0,50000.0,-1.0,38889.0,50435.0,83015.0,-1.0,28235.0,-1.0,-1.0,-1.0,20480.0,30000.0,-1.0,209348.0,96774.0,131955.0,37037.0,208489.0,24914.0,-1.0,50435.0,36667.0,100000.0,-1.0,-1.0,22222.0
1977,-1.0,124242.0,31429.0,29016.0,-1.0,42348.0,-1.0,71325.0,-1.0,35738.0,88333.0,-1.0,4000.0,29730.0,-1.0,40000.0,40000.0,86342.0,-1.0,33526.0,-1.0,-1.0,-1.0,23069.0,35000.0,-1.0,215450.0,98056.0,145823.0,37037.0,230538.0,25015.0,-1.0,40000.0,35294.0,74799.0,-1.0,-1.0,26531.0
1978,-1.0,109211.0,28000.0,29000.0,-1.0,45000.0,-1.0,70481.0,38571.0,26348.0,91667.0,-1.0,2000.0,30000.0,-1.0,38889.0,38667.0,87378.0,-1.0,29818.0,-1.0,-1.0,-1.0,12996.0,35000.0,-1.0,214514.0,95000.0,120679.0,35802.0,188500.0,30172.0,-1.0,38667.0,35135.0,67939.0,-1.0,-1.0,35000.0
1979,-1.0,121325.0,28571.0,29064.0,-1.0,42174.0,-1.0,66943.0,38760.0,26518.0,97656.0,-1.0,30000.0,30000.0,-1.0,39130.0,40000.0,85887.0,-1.0,25826.0,-1.0,-1.0,-1.0,12937.0,35000.0,-1.0,215806.0,95000.0,122278.0,37037.0,203000.0,30149.0,-1.0,40000.0,34664.0,71820.0,-1.0,-1.0,38043.0
1980,-1.0,122500.0,31429.0,29048.0,-1.0,42373.0,-1.0,56714.0,38012.0,26015.0,100038.0,-1.0,78889.0,30000.0,-1.0,39130.0,37222.0,80438.0,-1.0,32222.0,-1.0,-1.0,-1.0,12257.0,35000.0,-1.0,212361.0,95000.0,125432.0,30488.0,223000.0,29964.0,-1.0,37222.0,34826.0,91943.0,-1.0,-1.0,40860.0
1981,-1.0,101961.0,31429.0,29048.0,-1.0,32178.0,-1.0,59528.0,70929.0,25851.0,100194.0,-1.0,39231.0,30000.0,-1.0,39130.0,37778.0,76942.0,-1.0,27778.0,-1.0,-1.0,-1.0,13275.0,35000.0,-1.0,207116.0,91647.0,121867.0,28235.0,195364.0,27901.0,-1.0,37778.0,34826.0,77725.0,-1.0,-1.0,38889.0
1982,-1.0,94340.0,31429.0,28972.0,-1.0,30137.0,-1.0,58262.0,97696.0,30934.0,86763.0,-1.0,57692.0,28571.0,-1.0,39130.0,38889.0,73291.0,-1.0,25000.0,-1.0,-1.0,-1.0,13676.0,35035.0,-1.0,210480.0,92500.0,130602.0,31940.0,209304.0,30368.0,-1.0,38889.0,35714.0,81584.0,-1.0,-1.0,36842.0
1983,-1.0,80303.0,31429.0,29032.0,-1.0,26070.0,-1.0,73308.0,87875.0,22229.0,85926.0,-1.0,14667.0,29730.0,-1.0,40000.0,44444.0,71207.0,-1.0,42077.0,-1.0,-1.0,-1.0,13781.0,13688.0,-1.0,195943.0,91667.0,90706.0,43669.0,213636.0,27929.0,-1.0,44444.0,37080.0,86339.0,-1.0,-1.0,33333.0
1984,-1.0,88525.0,29412.0,29091.0,-1.0,11714.0,-1.0,80848.0,72668.0,27526.0,88462.0,-1.0,16667.0,28571.0,-1.0,39167.0,50000.0,70773.0,-1.0,32632.0,-1.0,-1.0,-1.0,15896.0,35035.0,-1.0,191057.0,91667.0,114713.0,43991.0,206087.0,28108.0,-1.0,50000.0,37140.0,88885.0,-1.0,-1.0,36364.0
1985,-1.0,76056.0,28986.0,29545.0,32895.0,6514.0,16667.0,76226.0,61206.0,34626.0,85926.0,-1.0,18667.0,30000.0,23611.0,40000.0,60000.0,69406.0,-1.0,37368.0,52571.0,-1.0,37162.0,18065.0,25000.0,-1.0,193909.0,92857.0,147753.0,38539.0,212083.0,28000.0,28000.0,60000.0,36364.0,97499.0,-1.0,-1.0,39167.0
1986,-1.0,92308.0,28986.0,30455.0,32895.0,9346.0,16667.0,72572.0,56739.0,32183.0,88889.0,-1.0,18667.0,30000.0,27778.0,40417.0,60000.0,67605.0,-1.0,44737.0,55429.0,-1.0,35553.0,19919.0,28778.0,-1.0,187043.0,92857.0,89560.0,39558.0,213478.0,26222.0,40920.0,60000.0,42553.0,128122.0,-1.0,-1.0,32895.0
1987,-1.0,101099.0,28986.0,30909.0,32895.0,16742.0,18333.0,78163.0,58002.0,27730.0,89286.0,-1.0,116471.0,28571.0,27778.0,40833.0,62500.0,68610.0,-1.0,34500.0,45333.0,-1.0,29966.0,19284.0,10852.0,-1.0,186101.0,93750.0,86869.0,42512.0,225833.0,30740.0,44000.0,62500.0,45833.0,119523.0,-1.0,-1.0,31250.0
1988,-1.0,87879.0,31884.0,31364.0,32895.0,25836.0,18333.0,80161.0,58621.0,21557.0,89286.0,-1.0,38235.0,22222.0,27778.0,41250.0,64706.0,68184.0,-1.0,35000.0,46667.0,-1.0,34471.0,20411.0,16296.0,-1.0,186686.0,93750.0,96893.0,43958.0,235238.0,25797.0,46000.0,64706.0,48000.0,63849.0,-1.0,-1.0,30769.0
1989,-1.0,116190.0,31884.0,31818.0,32895.0,50574.0,20000.0,76399.0,54592.0,22475.0,86667.0,-1.0,20000.0,20000.0,27778.0,41667.0,56250.0,67983.0,-1.0,37400.0,48000.0,-1.0,40709.0,15109.0,12000.0,-1.0,189671.0,93750.0,98812.0,44538.0,228627.0,26941.0,48850.0,56250.0,48400.0,63849.0,-1.0,-1.0,29520.0
1990,-1.0,103347.0,23182.0,36336.0,31936.0,54545.0,28421.0,72933.0,57234.0,20495.0,70968.0,-1.0,32674.0,17857.0,30313.0,40677.0,60000.0,68382.0,-1.0,38667.0,47080.0,-1.0,44120.0,13516.0,17556.0,-1.0,185755.0,57292.0,107772.0,43391.0,248425.0,26183.0,40000.0,60000.0,48000.0,63849.0,-1.0,-1.0,35211.0
1991,-1.0,100403.0,34839.0,32311.0,26869.0,45148.0,24527.0,69706.0,69438.0,20155.0,87500.0,13402.0,59449.0,22222.0,27080.0,36957.0,62264.0,69086.0,-1.0,34091.0,52258.0,-1.0,48951.0,13319.0,11852.0,-1.0,180047.0,71579.0,95048.0,44904.0,223515.0,25533.0,36000.0,62264.0,51923.0,77392.0,-1.0,-1.0,34014.0
1992,-1.0,73249.0,34478.0,32445.0,26644.0,34894.0,22222.0,69430.0,61945.0,26810.0,86061.0,42040.0,30667.0,26247.0,27165.0,37269.0,80357.0,66726.0,-1.0,33705.0,52329.0,-1.0,38607.0,13295.0,16000.0,-1.0,176290.0,88889.0,88811.0,42386.0,219910.0,31222.0,40048.0,80357.0,55556.0,82504.0,-1.0,-1.0,32787.0
1993,-1.0,90846.0,34290.0,32579.0,26418.0,47479.0,26191.0,67263.0,65866.0,27552.0,76923.0,97639.0,33846.0,29474.0,27249.0,37788.0,83333.0,78802.0,-1.0,32887.0,52778.0,-1.0,45043.0,13270.0,11630.0,-1.0,189952.0,103261.0,118149.0,51648.0,283484.0,30993.0,42000.0,83333.0,58214.0,81821.0,-1.0,-1.0,32573.0
1994,-1.0,94896.0,34333.0,32713.0,26192.0,26618.0,27304.0,66180.0,67241.0,30646.0,78857.0,58065.0,82685.0,29621.0,27334.0,38308.0,75000.0,78716.0,-1.0,26429.0,52500.0,-1.0,40959.0,12400.0,14333.0,103893.0,176535.0,137931.0,93711.0,51372.0,251847.0,37215.0,54143.0,75000.0,59649.0,81809.0,-1.0,-1.0,27928.0
1995,-1.0,110078.0,34286.0,32847.0,25966.0,22081.0,28379.0,62804.0,68712.0,32692.0,88889.0,77778.0,59352.0,29412.0,27418.0,38828.0,100000.0,72046.0,-1.0,23422.0,56818.0,-1.0,52442.0,12444.0,16714.0,104027.0,172845.0,201613.0,97861.0,51634.0,264281.0,32769.0,58800.0,100000.0,59655.0,78426.0,-1.0,-1.0,26744.0
1996,-1.0,82748.0,32500.0,32980.0,25740.0,18018.0,29742.0,61166.0,76869.0,32736.0,93056.0,24000.0,81982.0,25129.0,27503.0,39350.0,100000.0,71679.0,-1.0,25102.0,52083.0,-1.0,45310.0,12482.0,18125.0,101891.0,164069.0,200583.0,110370.0,51495.0,270423.0,37348.0,75134.0,100000.0,61017.0,78905.0,-1.0,-1.0,26331.0
1997,-1.0,78710.0,32287.0,33114.0,25514.0,26302.0,31522.0,61170.0,89268.0,26803.0,100000.0,25000.0,52217.0,29907.0,27587.0,39829.0,54286.0,71570.0,-1.0,35185.0,51240.0,-1.0,48077.0,13009.0,20244.0,103283.0,136701.0,200583.0,116443.0,45592.0,264585.0,31392.0,74854.0,54286.0,61667.0,78889.0,25000.0,-1.0,26667.0
1998,-1.0,65183.0,31884.0,33248.0,25288.0,19231.0,31579.0,60868.0,119949.0,36596.0,109890.0,25000.0,56280.0,30233.0,27672.0,40361.0,178000.0,95582.0,-1.0,34333.0,50000.0,-1.0,63403.0,13038.0,17534.0,124484.0,128274.0,200000.0,113687.0,42162.0,289588.0,39526.0,74529.0,178000.0,66479.0,49080.0,24901.0,-1.0,26250.0
1999,-1.0,83782.0,31332.0,33429.0,25062.0,16417.0,31747.0,50229.0,119978.0,41799.0,92166.0,30000.0,43984.0,40000.0,27756.0,40899.0,191667.0,75407.0,30000.0,33226.0,49630.0,-1.0,84889.0,12868.0,44559.0,100289.0,144095.0,202096.0,101563.0,51240.0,321317.0,42707.0,75181.0,191667.0,79437.0,31466.0,24928.0,33333.0,27381.0
2000,-1.0,56676.0,30303.0,33519.0,24836.0,24342.0,34000.0,51586.0,83459.0,44351.0,94949.0,30238.0,50038.0,44000.0,27841.0,41667.0,208333.0,77934.0,120000.0,33217.0,50000.0,-1.0,84727.0,13112.0,25513.0,104674.0,49297.0,200583.0,81240.0,47074.0,347357.0,36518.0,75222.0,208333.0,78864.0,40878.0,24953.0,33562.0,24000.0
2001,-1.0,53917.0,30140.0,33478.0,24610.0,9643.0,34286.0,58799.0,86471.0,46533.0,94286.0,37811.0,53561.0,25000.0,28312.0,42308.0,195000.0,80322.0,120000.0,28169.0,50000.0,-1.0,89360.0,13660.0,23095.0,101032.0,43598.0,200583.0,90126.0,47743.0,377879.0,36433.0,81851.0,195000.0,87858.0,40878.0,24976.0,35000.0,26627.0
2002,-1.0,71253.0,29633.0,33724.0,24384.0,10061.0,34545.0,59262.0,101470.0,41792.0,94286.0,33557.0,60867.0,30000.0,28374.0,42628.0,185714.0,80266.0,30000.0,30203.0,55120.0,-1.0,85320.0,13853.0,28837.0,119127.0,45170.0,86826.0,113048.0,47772.0,367847.0,34629.0,93163.0,185714.0,70451.0,40879.0,24997.0,33333.0,27273.0
2003,-1.0,53506.0,29045.0,33801.0,24083.0,16397.0,34002.0,62515.0,113245.0,37745.0,98816.0,44444.0,34242.0,20921.0,28205.0,43636.0,171429.0,57069.0,50000.0,29243.0,71429.0,-1.0,85517.0,14115.0,28140.0,76828.0,46859.0,83832.0,77182.0,45581.0,341374.0,38216.0,117119.0,171429.0,64929.0,40878.0,25035.0,33082.0,27273.0
2004,-1.0,55673.0,28472.0,33869.0,23705.0,21094.0,33913.0,63259.0,113888.0,35646.0,97524.0,94663.0,66146.0,30000.0,28296.0,43338.0,185714.0,76156.0,40000.0,30500.0,53571.0,25217.0,82017.0,20799.0,29884.0,147067.0,49342.0,84848.0,70099.0,42476.0,337750.0,32360.0,110345.0,185714.0,65012.0,40860.0,25015.0,32836.0,29825.0
2005,-1.0,55086.0,28192.0,34043.0,23923.0,13689.0,34271.0,64380.0,137424.0,45926.0,97641.0,125952.0,50650.0,27500.0,28750.0,42000.0,166667.0,60565.0,46667.0,28271.0,54324.0,26360.0,80806.0,21774.0,32093.0,113817.0,48824.0,85714.0,68803.0,41730.0,320799.0,34907.0,79000.0,166667.0,78887.0,40878.0,25000.0,32601.0,30508.0
2006,-1.0,55213.0,27738.0,33898.0,23774.0,12808.0,33333.0,64109.0,149335.0,47808.0,95238.0,271667.0,60442.0,25000.0,27839.0,44444.0,156250.0,50331.0,43333.0,30682.0,53571.0,26333.0,42597.0,36366.0,31259.0,41197.0,53434.0,64977.0,70581.0,41667.0,371358.0,31818.0,72727.0,156250.0,82525.0,40864.0,24970.0,31111.0,32762.0
2007,-1.0,55189.0,27234.0,33333.0,23766.0,20582.0,34538.0,63091.0,149335.0,46779.0,95238.0,96369.0,41526.0,25000.0,28049.0,45226.0,152941.0,61854.0,40000.0,31132.0,53571.0,25000.0,41034.0,37797.0,23000.0,47226.0,52632.0,63240.0,68937.0,52105.0,360410.0,32959.0,50000.0,152941.0,78138.0,40878.0,24945.0,32285.0,35393.0
2008,-1.0,48859.0,26778.0,33855.0,22622.0,19491.0,34669.0,62799.0,149722.0,48375.0,95266.0,99857.0,45431.0,24000.0,28916.0,45977.0,150000.0,62448.0,100000.0,36896.0,53571.0,52574.0,43302.0,38164.0,53250.0,50025.0,53536.0,87867.0,82185.0,65326.0,360088.0,34114.0,45714.0,150000.0,85159.0,40878.0,24667.0,32249.0,35844.0
2009,-1.0,61134.0,26280.0,34358.0,21990.0,21687.0,35059.0,61223.0,93049.0,51087.0,117516.0,109404.0,58040.0,24186.0,26940.0,46642.0,140000.0,58641.0,40000.0,35294.0,54280.0,67497.0,49951.0,38445.0,45270.0,57741.0,53434.0,85344.0,79307.0,65326.0,344079.0,37341.0,63977.0,140000.0,82471.0,40806.0,25091.0,32177.0,35911.0
2010,-1.0,61236.0,25817.0,34508.0,21391.0,14866.0,33088.0,63922.0,87043.0,62689.0,119048.0,117871.0,65814.0,25112.0,26324.0,47220.0,141782.0,58147.0,100000.0,35031.0,54143.0,84762.0,46152.0,38682.0,32404.0,53649.0,54375.0,78527.0,84429.0,65326.0,322554.0,40023.0,63977.0,141782.0,88159.0,41809.0,25000.0,31579.0,35800.0
2011,-1.0,67287.0,25320.0,33559.0,20838.0,18900.0,36500.0,64613.0,87473.0,68937.0,119075.0,109645.0,63386.0,23893.0,25615.0,47770.0,139525.0,59858.0,100000.0,35294.0,53788.0,99336.0,50246.0,37699.0,36442.0,47708.0,55096.0,57710.0,90500.0,68746.0,329773.0,44710.0,87342.0,139525.0,85495.0,58107.0,25236.0,32000.0,35369.0
2012,119048.0,117926.0,24719.0,34000.0,20000.0,17860.0,40000.0,65738.0,88183.0,63552.0,-1.0,108907.0,56614.0,23307.0,21667.0,49057.0,131272.0,58550.0,30000.0,39001.0,53743.0,27421.0,46837.0,37380.0,15952.0,42502.0,64796.0,48276.0,79228.0,70880.0,363627.0,48136.0,88226.0,131272.0,86799.0,57942.0,25806.0,33000.0,37065.0
2013,119048.0,124436.0,24444.0,33559.0,20000.0,19504.0,38321.0,69799.0,119977.0,67738.0,-1.0,109755.0,55674.0,22722.0,24071.0,49057.0,126999.0,58754.0,30000.0,43046.0,53697.0,272222.0,33225.0,36924.0,21943.0,37295.0,48844.0,40979.0,83391.0,74578.0,350307.0,51501.0,119923.0,126999.0,90190.0,78899.0,25494.0,32305.0,146784.0
2014,119945.0,103779.0,23848.0,33723.0,19749.0,17699.0,37374.0,71476.0,120009.0,52395.0,-1.0,80598.0,43942.0,22136.0,24948.0,49213.0,122726.0,58939.0,30000.0,40862.0,53651.0,261935.0,27302.0,36359.0,29077.0,32355.0,57143.0,34937.0,74870.0,77027.0,332682.0,56499.0,129004.0,122726.0,90578.0,89586.0,25385.0,31983.0,162318.0
